2020,2030,2040,2050,2060,2070,2080,2090,2100
41535.279246867154,56664.55841523295,75888.73030573394,99929.8868638466,130236.19815397901,166886.15721639773,209578.34861327457,258652.12386482063,313849.03541399573
57041.658653371065,76938.98479547224,102195.38291544354,134023.96186813732,172620.79714035837,218364.0813241452,272480.33838883,334760.7768975767,404814.7442654753
26324.08374451359,34922.487111050905,45667.43326668447,58893.5398842954,75172.62129530348,95208.9005623241,119668.18889754356,149293.66970536657,183108.76929681067
26837.821887639664,36043.05084620683,47582.17504065628,61770.095453649774,79199.23094063313,100838.0047055514,128036.54141634973,159977.98088508955,195709.03544882056
32082.774760563843,42620.463340148104,55713.732079756584,71773.86705378922,91494.50590440285,115861.72356160262,146127.9239162905,181243.1717950359,220254.68868925856
27428.7844734354,36418.995026120916,47695.497639782654,61634.288936175944,78817.36454233628,99969.07451109044,125773.32996635254,157041.2142093949,192653.4579395529
27284.4855798543,35853.59892387527,46534.3008677211,59665.9486567304,75780.46806285207,95526.3731884941,119543.65336168531,148659.7312914068,181917.99925983135
29439.059055066995,38597.879746876104,49899.16143443935,63592.13567639801,80184.6264534143,100390.99424749377,124885.68874685647,154217.48410544932,189170.7601943554
26007.82097492215,34616.350009968526,45329.5102564313,58448.20744854367,74496.09522687836,94189.03596756591,118321.37947896222,147923.77469260746,181906.43118212873
19481.725926929117,25888.088999505024,33897.21654349948,43749.161072588235,55870.458414390116,70791.63285307829,88892.71909820466,110185.12478392397,134974.7585752745
17838.915193546374,24114.375732832897,32184.414020474323,42362.910024479745,55173.52506949086,71275.33324704344,91169.14570117884,115336.06253563911,142716.85273537989
15246.126022256367,20030.429878340256,26018.806437674913,33417.03071867337,42542.18672245885,53791.07429000866,67462.33820457099,83584.91681983389,102303.95814609814
24941.758705421285,33401.063606184274,44015.39622316025,57098.83698448822,73192.56828746546,92984.0715206631,117107.19990463597,146228.12189942738,179547.98298606963
31184.372227858952,41225.54832141333,53733.607376614105,69113.0655739157,88108.9241808524,112014.33042835449,140578.07362926437,173016.72128554655,209850.65041127265
26423.232983524482,35230.773359236606,46144.24306286719,59540.01694095273,75967.13037705043,96057.12532851465,120480.52443143929,150126.20274941617,184019.27989536093
15856.196606127127,20698.98569869825,26699.050425083205,34088.58176940932,43181.034250703626,54319.04948979401,67764.6675507653,83610.86455421726,101941.7050497467
33071.265627835906,44085.13981665451,58018.40055016866,75461.49366691217,97389.6992263065,125326.32087196567,158955.22180879122,197532.1725684518,241423.45797169558
36016.44131080957,48696.21156516363,64664.25730862821,84517.34390379906,109594.32455320921,140003.92715233995,175456.0895851238,216398.0083225477,262874.1600821478
31414.970702849194,42611.926497836204,56837.190631755264,74542.84945003339,96521.49006884024,123995.82649548058,158397.44577838664,198369.13107583654,242627.56876523193
60174.69923327662,81136.58216865908,107787.06672698565,141303.7832875498,181702.62984643894,229506.0114745021,286302.94109434064,352105.69661225803,426499.25773983554
21763.356987008607,28972.24411512159,38044.80895744376,49251.7068982613,63059.591352694,80108.17804949195,101006.14894166439,126426.57666860713,155519.79238794552
34232.27474314445,46028.09218337832,60927.41053680028,79427.45020298203,102420.30325886322,131419.15528541253,166160.133115688,205572.35467347322,250194.02806639727
25642.964986472183,34234.96953530166,45063.94429608619,58395.219511154566,74741.63925732342,94816.44172541435,119168.40088895858,148103.20928154877,182414.09609069658
38261.6255769881,50951.744365239356,66798.44725020387,86255.77894608009,110161.91734713863,139894.61052620952,175202.59458033138,215477.2436615146,261311.44241631744
44901.76271233798,60423.851086478535,80206.90666748658,105273.58878680076,135642.63397915836,171662.6301166066,214524.5584854339,264171.8486072079,320361.5365924863
19481.725926929117,25888.088999505024,33897.21654349948,43749.161072588235,55870.458414390116,70791.63285307829,88892.71909820466,110185.12478392397,134974.7585752745
31468.566150288327,41360.69732999036,53671.608180221105,68729.45050790359,87081.94308546509,109568.15048549935,137263.75562672273,169497.1862819834,205382.71146240446
20889.19916382026,27673.86279531312,36158.83657532492,46647.20683531195,59597.78684039721,75599.26639063976,95242.34487291983,119232.9290892332,146960.65064427064
34452.69042697059,45255.48249610606,58670.796974731194,75082.54330615266,95115.72932814345,119616.22191104745,149761.53947605827,184918.35553428746,224295.77436074638
22438.202079910196,29428.514416247515,38114.55553330742,48730.727486099946,946927.3157579933,2.152517004688496e6,2.885625532719776e6,3.868531242431323e6,5.041281452257007e6
33949.79303237622,45665.78296130581,60375.56124001244,78583.4158064918,101244.4912856901,129952.75621565725,164264.87152974732,203153.1613527854,247251.7439333684
35655.29323188418,48410.53516044365,64565.819366408476,84795.63775127783,110270.91081538133,142695.54179596173,181468.98560597652,225421.53819505678,275062.5330868786
47013.89556743522,62346.56265812121,81547.62447596274,105422.45329855765,135400.4385757033,171546.90125990717,213889.99062432777,263349.1937171499,319932.2200493016
18688.826035468832,24667.11285374389,32089.989904927097,41196.01190633388,52384.5963592575,66160.77565895396,82939.78129863368,102916.2046835821,127013.39845228719
35207.36945727508,47649.250680729354,63298.546657799845,82692.50825360822,106853.72536283307,137403.88180179117,173835.76287132525,215056.04198963832,261524.6555769672
24848.752355656776,33440.44951472308,44269.76586481614,57670.16326826559,74184.8174458723,94479.29641045327,119186.67215807583,148983.66719426375,182916.75309147197
43299.53179785154,59201.20665565548,79651.04550604144,105843.792815732,137814.13066135815,175854.13317393907,221154.90024758867,273407.0045227626,332307.49426876416
19904.68558143215,26154.725091157175,33947.61472888365,43520.84750322273,55293.32619434036,69790.99601538325,87452.31379588331,108414.63320194135,133093.92170578364
40674.99197569786,54007.521707850916,70666.55825683713,91138.14886452611,116356.8917859305,147894.58098994687,185545.1553086629,228734.3196620811,277908.4756357774
26585.746401223583,34987.97295909851,45380.36976473119,58115.34140834861,73740.30408850276,93010.57933353823,116948.89897254639,144820.94264331873,175925.23100143194
23378.675419373343,30758.497510498462,39836.42693923542,50914.52934745645,64452.82002509176,80976.63178697208,100939.03572667378,124668.14880485702,153036.70318602532
54133.46364387096,73296.68459490393,97751.36581720566,128784.74459161525,166620.27753403876,211606.9885312009,264774.579354984,325501.0162767689,393201.2157279323
25352.586436639827,33491.85303510715,43566.353594639586,55862.650494596295,70886.24575143529,89350.14889682965,112035.20268309672,139833.13013816788,171651.8316750959
23046.471314918374,31016.449759199095,41150.186842980445,53749.99177349437,69315.85144394138,88474.21734257467,111802.14071789003,140062.69667907094,172174.6196458601
25206.49797765867,34001.222654766636,45129.7119425548,58928.73481785502,75979.10066318564,97083.0974012526,123040.32769397838,154627.5745767727,190620.55474446097
23650.02929664137,30906.802745505025,39839.18037571422,50729.816023866326,64050.13407814085,80389.63170043677,100265.4613171141,124041.39104294345,152639.99980729166
28082.918215087535,37500.254329091666,49381.39408337312,64096.853137814454,82305.40632046806,104997.48627971721,133400.89512538086,166142.74719974853,202307.27133247885
15555.748335387947,20212.503135899085,25983.989360906653,33101.515466343204,41874.901523617664,52650.01655903083,65622.36940024674,80730.18016249928,97884.45397203014
41535.279246867154,56664.55841523295,75888.73030573394,99929.8868638466,130236.19815397901,166886.15721639773,209578.34861327457,258652.12386482063,313849.03541399573
39113.25983021365,52084.662299475836,68405.16059422209,88591.66953584053,113549.76759116126,144732.80191103177,181896.7938255443,224307.98518318744,272503.02332248277
55805.98626513305,75511.45325243451,100297.37997920689,131277.55659869369,168412.6589512995,212061.63188731245,263536.4435679796,322675.83463330346,389229.4440727614
45620.52179482939,61063.486219367514,80433.91051096201,104444.7856820872,134485.78114694398,170569.54100867605,212678.83719260903,261677.36301682808,317604.7949121487
21524.947444623638,28424.67495674605,37005.47681969838,47561.13764516617,60556.94321046403,76573.34890656984,96186.25759888552,120060.85939413971,147551.03753438313
29640.702334794412,39455.86238532669,51826.80696402023,67122.61799713488,86007.79545869789,109463.47456374079,138704.7062545716,172635.3392362586,210542.45372763538
39770.84979206612,53167.27832106693,69989.64790344889,90775.00299143956,116493.88541152028,148674.64834345406,186945.9333671052,230569.75208119268,280169.3496116977
28238.858665222288,37734.71202778097,49802.65252427751,64901.30054799843,83937.5418319492,108425.4224039071,138084.65232617882,172226.43368617288,211192.65408797993
44723.19319700106,60174.87341827409,79618.06379992061,103928.69988588855,134549.0654877516,171419.8112537989,214301.9477704927,263638.8533285686,319177.42684027064
38390.269092826944,51763.824511797415,68768.2370757479,89972.29088858583,116392.76684944688,149712.91464348702,189758.344430071,235849.6155879267,288372.6359862255
32319.02167918467,43160.36489175373,56753.18323936411,73547.02625433845,94247.4194750399,119858.30615364967,151588.40173607605,188201.9556216637,228744.528938572
29929.531994403478,40061.859736662955,52834.29258090342,68653.85099839723,88190.47524618494,112388.99642272026,142370.11291853775,177062.54961194447,215369.2044291633
47541.0221704521,64514.31073728445,86120.28539348333,113175.03769265435,147269.52720070363,188410.89331753983,236283.81972602993,291376.0230967533,353529.29752758297
37544.536563254616,50184.18953525922,66040.0362299821,85586.19398818126,109751.50833018261,140174.93157631005,176658.8434567619,218454.40066729079,266191.65945344686
28500.902085855654,38385.85996766901,50929.978882020914,66480.20992302825,85679.64019261337,109502.36691038197,139101.25814148906,173402.28152239026,211521.2878135163
24486.565365774237,31876.9860304039,41014.41690502782,52220.251850326924,65961.67656578557,82777.22514184484,103150.0695528083,127440.629884564,156467.38023418887
16869.34207712461,22229.840142509143,28909.042510564028,37135.08716666143,47263.25443698048,59706.87373119377,74766.65423794821,92437.66156865915,112878.933472342
27609.331084513182,36954.26406001861,48618.97636502805,62930.05304357353,80426.54815480333,101838.00206042832,127866.47209692988,159233.63837550115,194919.3165791838
29918.544615321705,40172.99281351587,53224.449039458596,69547.60749943308,90012.512381739,116097.45434010233,147465.7989520579,183163.27179141867,223745.46801628562
32218.588704149144,42235.82237128725,54632.674113798945,69819.05258648627,88460.6690090519,111671.03796155189,139350.05972651555,170736.965699242,206337.0190208256
31160.277878666257,41530.231997427356,54463.51375955523,70336.07281934579,89988.14951050475,115003.91157078091,145218.74119832634,180077.98655978453,220215.50214095018
35730.469620510165,47901.65165834137,63189.74567611495,82152.07603101243,106047.89478459544,134944.12810646446,168736.3570616051,208042.28245000378,252853.03578639848
31392.60677777588,41819.31428906198,54987.72874677766,71351.46792800713,91782.6777608341,117759.56432200063,148892.74930256617,184244.77798476195,224469.8635066577
15496.092501319214,20398.698308915766,26515.0740185647,34043.246501206566,43291.76089503765,54637.9181709157,68370.9655585642,84595.12757983233,103385.8840220278
37608.80950332416,50353.129729987064,66348.7243021521,86073.85368670386,110497.68090265413,141268.4011410998,178046.31309735222,220030.5876941507,267982.6088991507
35983.07277836288,48825.41846935811,64998.90527514514,85201.5214970043,110764.56312791666,141670.6226379688,177727.86028253645,219501.63126587291,266857.84761715424
37879.82443967243,50527.550062276554,66380.26796551581,85976.72154580195,110639.04065585328,140521.65775324393,175490.61657189892,216055.0704188131,262328.3881969598
45402.58015741778,60217.32746450007,78515.84146228753,100834.34695077669,128144.07011189839,162045.05953299731,202126.946510242,247309.05589681322,298641.5452282047
17701.808598691317,23586.963914034928,30966.556848456217,40085.073231935334,51331.01799870736,65229.78405573838,82234.90875840778,102456.39319897062,126020.34588233678
21148.515028692833,27946.632468864183,36353.00064365145,46628.203534841974,59187.464612428244,74513.70634904032,93004.00974288731,114935.80410342541,141123.43900299937
18528.650577821052,24263.8903066637,31361.027683744403,40083.66728110029,50823.31417341663,64034.24699602183,80072.7025178546,99114.48594895852,121880.00686128296
34891.052829608896,46321.504710861205,60557.70105790691,78038.44922698013,99622.13231204786,126803.1271792606,159113.5000238453,195209.1373595306,236089.3472665959
22560.405522937588,29829.837303503205,38922.9229141354,50110.375119052536,63870.20351310579,80820.46009483605,101414.39064306923,125789.7912134401,154958.91558851255
40423.407692859386,54399.11303141253,71823.92604848571,93137.7995542729,119333.09297796787,152118.78282452346,191011.7592558443,234999.61343718326,284993.25443016656
19038.084596138004,24992.935252279123,32415.199491138585,41505.69482512401,52611.577658777314,66217.13843605254,82699.2653745801,102130.0059117855,124729.8968752646
30676.0104653413,40137.267746701094,51824.641257521784,66108.56070216416,83536.45047473219,104827.58901289685,130986.29201321221,161617.09226733368,195918.56951348868
34523.868868878475,46054.05219869243,60478.08424579954,78285.04876179117,100410.17449691317,128417.61032782152,161897.4078972042,199946.52915272955,243371.79807782985
36873.03371045504,50519.895682580696,67916.75682643482,89792.14956946619,117523.32364009575,151113.2741439729,190209.71775935532,235136.70775512847,285681.19663324615
